,reviews
162,"
I bought the cream version and it looks very premium. Was in dilemma whether to buy Oneplus 11 which was costing around 55k. But got this gadget at 56k with exchange bonus which was icing on the cake.Coming to phone, the battery life is decent . I Get only around 5 hrs SOT /17 hrs  in total till battery life and I have very high usage like excel, chrome, and social media apps. Dont play games , so dont know the performance. But its buttery smooth .Outdoor brightness is exceptional. It is joy to watch videos on this on display.Camera is also excellent with very good portraits and night time shots with 60fps recording .Only con is slow charging , should have given 45 w charging option, 25W is slow and also the battery dies from 5% to 1% within like 5 mins.
"
163,"
Best Android phone yet. Everything is great except battery. Cameras, display, performance everything is super great but the battery lasts only 8-12 hrs max. I upgraded my android from Samsung M51 (7000mah battery) to this S23 (3900 mah battery) and I love everything except the battery in my new phone. Otherwise the phone is just great. OneUI latest version is also pretty good now. Go for it but beware of the battery!!
"
164,"




                    The media could not be loaded.
                



 Best phone. Better than iphone14.User friendly.
"
165,"
Good phone and features but price little high
"
166,"
Camera too good. Display is dope af. Feels super nice to hold. Flagship experience all around. One small con is the camera arrangement, one below the other, hand touches the cam sometimes, will get used to it in a few days, plus and ultra won't have this issue because the size is bigger I guess. Battery is just decent but still way better than s22.Cam performance drops dramatically indoors or when light is low, even in the morning. Could use night mode to get better pictures. Relies a lot on post processing of the image. Sometimes images feels too HDRish without having hdr turned on. Pretty sure future updates could make the camera much better. In bright light both front and back cameras are amazing. 4k 60fps videos are too fiire, screenshots from video will look as good as standalone images. Ton of detail. Stabilization is excellent. Slo mo is fun too.
"
167,"
Phone is great with performance but battery life is poor and the phone which I received was having a slight screen leakage but I was not able to replace it so it's fine now
"
168,"
Its camera performance battery everything is great and it comes with a compact design. I had a doubt about the battery and its heating problem, but now there is nothing like that.It has all the features that should be in today's device, But for this you also have to pay a good amount.And it also delivers good value compared to last year's s22.So whoever wants to get a compact flagship smartphon, this is best option if he does not want to get an iPhone.
"
169,"
This is my first flagship Samsung device.  Prior to this I was using Samsung A52s. I also have a iphone 13. The size is almost exactly the same. If you examine closely, the body of the S23 feels a bit narrower. In my brief usage I am experiencing some heating but I think it will sort out after a few days.  Phone is definitely smooth even though I am restricting usage to lite mode. The haptic feedback is okay but not as remarkable as I was expecting after my usage of Nothing Phone 1 and iphone but its not bad either,I just had more expectation. I have received this phone after exchanging My A52s at ₹15,250/- and the exchange process of Amazon was much easier than what I have experienced with flipkart's exchange.Overall,I am quite satisfied with the purchase.
"
170,"
Ok ok
"
171,"
1. Very compact phone, if you switch from 6.5 inch to this you might feel this is small. Might take time to get adjusted to this.2. Battery life is good but not as excellent as claimed by reviewers. Install all your required apps and check the idle drain at Nighy, it's about 6%.3. Camera is excellent, both front and back. Low light photo is also good.4. The camera module is projecting out, so be careful during usage. Decent case should solve the issue.5. Screen display is very good6. Sound is awesome with dolby support7. Finger print sensor is slightly buggy, which might be fixed in updates.Exchange:1. Exchange process was so smooth. No hassle.After discount and Exchange effective price is 54k as of 1 March 2023
"
172,"
What I like is the compact size.  Perfect fit in hand . Best in performance and battery. Camera is OK and that's it I started to loving the phone.
"
173,"
Best compact phone.
"
174,"
ProsGood Display.Performance & Battery life is okay for normal day to day tasksPotrait shots are goodCons:Camera has shutter lagLacks details on indoor shots and human face shots
"
175,"




                    The media could not be loaded.
                



 I would love the camera quality 9f this phone. I am Attaching few photos which I took in one of the marriage in night.Talking about the Batterry- Easily one day with very heavy uses.Speed- snapdragon 8th gen 2 with extra clock is so much smooth and no lag in last 1 week. I have installed heavy games and my official apps as well. Till now it's like charm no si gle lag I have observed. Earlier was using one plus 9 and now jumped on to this device from one plus to flagship samsung. I can proudly that it was a wise decision.Charging speed is also very good. Your phone will take approx 1.3 hour to charge full. Ons- only one cons is no Charger with the phone  but you will get good discounts on cards so you can use thT for Charger. Other then that I am very happy with over all performance.
"
